key,value,time
Cold Water,0,1
Warm Water,0,1
Cold Water,0.0280000000000058,2
Warm Water,0.0360000000000014,2
Cold Water,0,3
Warm Water,0,3
Cold Water,0.00199999999999534,4
Warm Water,0.00199999999999534,4
Cold Water,0.00100000000000477,5
Warm Water,0.00100000000000477,5
Cold Water,0.0630000000000024,6
Warm Water,0.0910000000000082,6
Cold Water,0,7
Warm Water,0,7
Cold Water,0,8
Warm Water,0,8
Cold Water,0,9
Warm Water,0,9
Cold Water,0.00400000000000489,10
Warm Water,0.00300000000000011,10
Cold Water,0,11
Warm Water,0,11
